Codigo_Sage;Código Sage Recortado;Descripcion_Sage;Codigo_Odoo;Descripcion_Odoo
6490000;649000;Otros gastos sociales;649000;Otros gastos sociales
6500000;650000;Pérdidas de créditos comerciales incobrables;650000;Pérdidas de créditos comerciales incobrables
6510000;651000;Beneficio transferido (gestor);651000;Beneficio transferido (gestor)
6511000;651100;Pérdida soportada (partícipe o asociado no gestor);651100;Pérdida soportada (partícipe o asociado no gestor)
6580000;658000;Gastos por emisión de gases efecto invernadero;;
6590000;659000;Otras pérdidas en gestión corriente;659000;Otras pérdidas en gestión corriente
6600000;660000;Gastos financieros por actualización provisiones;660000;Gastos financieros por actualización de provisiones
6610000;661000;Intereses de obligaciones y bonos a L/P, grupo;661000;Intereses de obligaciones y bonos, empresas del grupo
6611000;661100;Intereses de obligaciones y bonos a L/P, asoc.;661100;Intereses de obligaciones y bonos, empresas asociadas
6612000;661200;Intereses de obligaci. y bonos a L/P, otras vinc.;661200;Intereses de obligaciones y bonos, otras partes vinculadas
6613000;661300;Intereses de obligaci. y bonos a L/P, otras emp.;661300;Intereses de obligaciones y bonos, otras empresas
6615000;661500;Intereses de obligaciones y bonos a C/P, grupo;661500;Intereses de obligaciones y bonos a corto plazo, empresas del grupo
6616000;661600;Intereses de obligaciones y bonos a C/P, asoc.;661600;Intereses de obligaciones y bonos a corto plazo, empresas asociadas
6617000;661700;Intereses de obligaci. y bonos a C/P, otras vinc.;661700;Intereses de obligaciones y bonos a corto plazo, otras partes vinculadas
6618000;661800;Intereses de obligaci. y bonos a C/P, otras emp.;661800;Intereses de obligaciones y bonos a corto plazo, otras empresas
6620000;662000;Intereses de deudas, empresas del grupo;662000;Intereses de deudas, empresas del grupo
6621000;662100;Intereses de deudas, empresas asociadas;662100;Intereses de deudas, empresas asociadas
6622000;662200;Intereses de deudas, otras partes vinc.;662200;Intereses de deudas, otras partes vinculadas
6623000;662300;INTERESES DE DEUDAS CON ENTIDADES DE CREDITO;662300;Intereses de deudas con entidades de crédito
6624000;662400;Intereses de deudas, otras empresas;662400;Intereses de deudas, otras empresas
6630000;663000;Pérdidas valorac. activ/pasivos fin.valor razonab.;663000;Pérdidas por valoración de instrumentos financieros por su valor razonable
6640000;664000;Dividendos de pasivos, empresas grupo;664000;Dividendos de pasivos, empresas del grupo
6641000;664100;Dividendos de pasivos, empresas asociadas;664100;Dividendos de pasivos, empresas asociadas
6642000;664200;Dividendos de pasivos, otras partes vinculadas;664200;Dividendos de pasivos, otras partes vinculadas
6643000;664300;Dividendos de pasivos, otras empresas;664300;Dividendos de pasivos, otras empresas
6650000;665000;Intereses dto.efectos en entidades crédito grupo;665000;Intereses por descuento de efectos en entidades de crédito del grupo
6651000;665100;Intereses dto.efectos en entidades crédito asoc.;665100;Intereses por descuento de efectos en entidades de crédito asociadas
6652000;665200;Intereses dto.efectos otras entidades crédito vinc;665200;Intereses por descuento de efectos en entidades de crédito vinculadas
6653000;665300;Intereses dto.efectos en otras entidades crédito;665300;Intereses por descuento de efectos en otras entidades de crédito
6654000;665400;"Intereses oper.""factoring"" entidades crédito grupo";665400;"Intereses por operaciones de ""factoring"" con entidades de crédito del grupo"
6655000;665500;"Intereses oper.""factoring"" entidades crédito asoc.";665500;"Intereses por operaciones de ""factoring"" con entidades de crédito asociadas"
6656000;665600;"Intereses oper.""factoring"" entidades crédito vinc.";665600;"Intereses por operaciones de ""factoring"" con entidades de crédito vinculadas"
6657000;665700;"Intereses oper.""factoring""otras entidades crédito ";665700;"Intereses por operaciones de ""factoring"" con otras entidades de crédito"
6660000;666000;Pérdidas en particip. y val.repre.deuda  L/P,grupo;666000;Pérdidas en valores representativos de deuda, empresas del grupo
6661000;666100;Pérdidas en partic. y val.repre.deuda a L/P, asoc.;666100;Pérdidas en valores representativos de deuda, empresas asociadas
6662000;666200;Pérdidas en partic.y val.rep.deuda L/P,otras vinc.;666200;Pérdidas en valores representativos de deuda, otras partes vinculadas
6663000;666300;Pérdidas en parti. y val.rep.deuda L/P, otras emp.;666300;Pérdidas en valores representativos de deuda, otras empresas
6665000;666500;Pérdidas en partic. y val.repre.deuda a C/P, grupo;666500;Pérdidas en valores representativos de deuda a corto plazo, empresas del grupo
6666000;666600;Pérdidas en partic. y val.repre.deuda a C/P, asoc.;666600;Pérdidas en valores representativos de deuda a corto plazo, empresas asociadas
